"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Early-demographic dividend","EAR","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.4533902057573","18.0572070875817","18.4645769742457","18.3207863627525","17.738927507566","16.4634684770108","15.2557514748311","14.5502463281078","13.9110595753887","13.3091844907782","12.6401862029345","12.1921214188295","11.9101555430223","11.699374227032","11.5165879037891","11.1944818351437","10.8689856953112","10.895933280857","11.7093319861753","12.7759004943544","",
"East Asia & Pacific","EAS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.2322545734425","11.6676093899389","10.8977164266997","10.3363941968057","9.61829927233146","8.89344612081479","7.99277162560651","7.13236078698133","6.03081614295284","5.48951719009865","5.08117847031343","4.86614371213136","4.65985807180729","4.57391266866273","4.40631820206974","4.25835804132125","4.09976529157111","3.99965746572495","3.99594481214112","4.0447994407604","",
"Europe & Central Asia (excluding high income)","ECA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.34294557644783","4.96271869091184","4.61837448534868","4.24275898666921","3.97335457337817","3.71526648572778","3.55204506895516","3.464725248716","3.21806943765818","2.968511845758","2.71946949616433","2.69532678718319","2.68778853967392","2.69107629714286","2.70059270205397","2.69907675690541","2.68059037462268","2.6625483746541","2.67533263125511","2.69212573620346","",
"Europe & Central Asia","ECS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.7546644620756","3.5790055418707","3.42479965328072","3.26072961924513","3.14195936659091","3.03368032190023","2.96299573362038","2.92269963949665","2.81648971955468","2.71214586916388","2.61245059351249","2.60118266683659","2.59686359076777","2.60077783603296","2.60490950771222","2.60315691447502","2.58815862378132","2.57751294974301","2.5818128633521","2.58961411696682","",
"Ecuador","ECU","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","22.7","22.7","22.7","22.4","22.8","22.1","21.3","16","12.3","8.4","8.8","8.8","8.7","9","9.7","10.7","11.6","13.7","15.4","",
"Egypt, Arab Rep.","EGY","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2","5.4","6","6.4","6.4","6","5.7","5.6","4.9","4.5","3.8","4","4.1","4.2","4.4","4.6","4.9","4.9","5","5.1","",
"Euro area","EMU","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.58775810177694","2.58174238165277","2.57422728631811","2.56944034600782","2.56498940869137","2.56627692001803","2.56105751787067","2.55136398528196","2.5426213174272","2.54177453456132","2.55310798488357","2.54986417566723","2.54653868542752","2.55282786426745","2.55271802551686","2.54944201680255","2.53028471644192","2.52229247621881","2.51911205766574","2.52069465389032","",
"Eritrea","ERI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","",
"Estonia","EST","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6","3.5","3.3","2.9","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","",
